chapter,chapter_description,code_category,code_category_description,icd_code,disease_description
XIII,Diseases of the musculoskeletal system and connective tissue,M60-M79,Soft tissue disorders,,
XIII,Diseases of the musculoskeletal system and connective tissue,M70-M79,Other soft tissue disorders,,
XIII,Diseases of the musculoskeletal system and connective tissue,M60-M63,Disorders of muscles,,
XIII,Diseases of the musculoskeletal system and connective tissue,M65-M68,Disorders of synovium and tendon,,
XIII,Diseases of the musculoskeletal system and connective tissue,M30-M36,Systemic connective tissue disorders,,
XIII,Diseases of the musculoskeletal system and connective tissue,M30-M36,Systemic connective tissue disorders,M30,Polyarteritis nodosa and related conditions
XIII,Diseases of the musculoskeletal system and connective tissue,M30-M36,Systemic connective tissue disorders,M35,Other systemic involvement of connective tissue
XIII,Diseases of the musculoskeletal system and connective tissue,M30-M36,Systemic connective tissue disorders,M36,Systemic disorders of connective tissue in diseases classified elsewhere
XIII,Diseases of the musculoskeletal system and connective tissue,M30-M36,Systemic connective tissue disorders,M31,Other necrotizing vasculopathies
XIII,Diseases of the musculoskeletal system and connective tissue,M30-M36,Systemic connective tissue disorders,M33,Dermatopolymyositis
XIII,Diseases of the musculoskeletal system and connective tissue,M30-M36,Systemic connective tissue disorders,M34,Systemic sclerosis
XIII,Diseases of the musculoskeletal system and connective tissue,M30-M36,Systemic connective tissue disorders,M32,Systemic lupus erythematosus
XIII,Diseases of the musculoskeletal system and connective tissue,M80-M94,Osteopathies and chondropathies,,
XIII,Diseases of the musculoskeletal system and connective tissue,M86-M90,Other osteopathies,,
XIII,Diseases of the musculoskeletal system and connective tissue,M91-M94,Chondropathies,,
XIII,Diseases of the musculoskeletal system and connective tissue,M80-M85,Disorders of bone density and structure,,
XIII,Diseases of the musculoskeletal system and connective tissue,M00-M25,Arthropathies,,
XIII,Diseases of the musculoskeletal system and connective tissue,M05-M14,Inflammatory polyarthropathies,,
XIII,Diseases of the musculoskeletal system and connective tissue,M00-M03,Infectious arthropathies,,
XIII,Diseases of the musculoskeletal system and connective tissue,M15-M19,Arthrosis,,
XIII,Diseases of the musculoskeletal system and connective tissue,M20-M25,Other joint disorders,,
XIII,Diseases of the musculoskeletal system and connective tissue,M95-M99,Other disorders of the musculoskeletal system and connective tissue,,
XIII,Diseases of the musculoskeletal system and connective tissue,M95-M99,Other disorders of the musculoskeletal system and connective tissue,M95,Other acquired deformities of musculoskeletal system and connective tissue
XIII,Diseases of the musculoskeletal system and connective tissue,M95-M99,Other disorders of the musculoskeletal system and connective tissue,M96,"Postprocedural musculoskeletal disorders, not elsewhere classified"
XIII,Diseases of the musculoskeletal system and connective tissue,M95-M99,Other disorders of the musculoskeletal system and connective tissue,M99,"Biomechanical lesions, not elsewhere classified"
XIII,Diseases of the musculoskeletal system and connective tissue,M40-M54,Dorsopathies,,
XIII,Diseases of the musculoskeletal system and connective tissue,M50-M54,Other dorsopathies,,
XIII,Diseases of the musculoskeletal system and connective tissue,M40-M43,Deforming dorsopathies,,
XIII,Diseases of the musculoskeletal system and connective tissue,M45-M49,Spondylopathies,,
VIII,Diseases of the ear and mastoid process,H80-H83,Diseases of inner ear,,
VIII,Diseases of the ear and mastoid process,H80-H83,Diseases of inner ear,H82,Vertiginous syndromes in diseases classified elsewhere
VIII,Diseases of the ear and mastoid process,H80-H83,Diseases of inner ear,H81,Disorders of vestibular function
VIII,Diseases of the ear and mastoid process,H80-H83,Diseases of inner ear,H83,Other diseases of inner ear
VIII,Diseases of the ear and mastoid process,H80-H83,Diseases of inner ear,H80,Otosclerosis
VIII,Diseases of the ear and mastoid process,H60-H62,Diseases of external ear,,
VIII,Diseases of the ear and mastoid process,H60-H62,Diseases of external ear,H60,Otitis externa
VIII,Diseases of the ear and mastoid process,H60-H62,Diseases of external ear,H61,Other disorders of external ear
VIII,Diseases of the ear and mastoid process,H60-H62,Diseases of external ear,H62,Disorders of external ear in diseases classified elsewhere
VIII,Diseases of the ear and mastoid process,H90-H95,Other disorders of ear,,
VIII,Diseases of the ear and mastoid process,H90-H95,Other disorders of ear,H91,Other hearing loss
VIII,Diseases of the ear and mastoid process,H90-H95,Other disorders of ear,H90,Conductive and sensorineural hearing loss
VIII,Diseases of the ear and mastoid process,H90-H95,Other disorders of ear,H93,"Other disorders of ear, not elsewhere classified"
VIII,Diseases of the ear and mastoid process,H90-H95,Other disorders of ear,H94,Other disorders of ear in diseases classified elsewhere
VIII,Diseases of the ear and mastoid process,H90-H95,Other disorders of ear,H92,Otalgia and effusion of ear
VIII,Diseases of the ear and mastoid process,H90-H95,Other disorders of ear,H95,"Postprocedural disorders of ear and mastoid process, not elsewhere classified"
VIII,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,,
VIII,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H66,Suppurative and unspecified otitis media
VIII,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H67,Otitis media in diseases classified elsewhere
VIII,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H69,Other disorders of Eustachian tube
VIII,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H70,Mastoiditis and related conditions
VIII,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H68,Eustachian salpingitis and obstruction
VIII,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H65,Nonsuppurative otitis media
VIII,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H71,Cholesteatoma of middle ear
VIII,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H73,Other disorders of tympanic membrane
VIII,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H72,Perforation of tympanic membrane
VIII,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H74,Other disorders of middle ear and mastoid
VIII,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H75,Other disorders of middle ear and mastoid in diseases classified elsewhere
XV,"Pregnancy, childbirth and the puerperium",O60-O75,Complications of labour and delivery,,
XV,"Pregnancy, childbirth and the puerperium",O60-O75,Complications of labour and delivery,O69,Labour and delivery complicated by umbilical cord complications
XV,"Pregnancy, childbirth and the puerperium",O60-O75,Complications of labour and delivery,O64,Obstructed labour due to malposition and malpresentation of fetus
XV,"Pregnancy, childbirth and the puerperium",O60-O75,Complications of labour and delivery,O67,"Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified"
XV,"Pregnancy, childbirth and the puerperium",O60-O75,Complications of labour and delivery,O74,Complications of anaesthesia during labour and delivery
XV,"Pregnancy, childbirth and the puerperium",O60-O75,Complications of labour and delivery,O73,"Retained placenta and membranes, without haemorrhage"
XV,"Pregnancy, childbirth and the puerperium",O60-O75,Complications of labour and delivery,O66,Other obstructed labour
XV,"Pregnancy, childbirth and the puerperium",O60-O75,Complications of labour and delivery,O62,Abnormalities of forces of labour
XV,"Pregnancy, childbirth and the puerperium",O60-O75,Complications of labour and delivery,O60,Preterm labour and delivery
XV,"Pregnancy, childbirth and the puerperium",O60-O75,Complications of labour and delivery,O70,Perineal laceration during delivery
XV,"Pregnancy, childbirth and the puerperium",O60-O75,Complications of labour and delivery,O71,Other obstetric trauma
XV,"Pregnancy, childbirth and the puerperium",O60-O75,Complications of labour and delivery,O63,Long labour
XV,"Pregnancy, childbirth and the puerperium",O60-O75,Complications of labour and delivery,O65,Obstructed labour due to maternal pelvic abnormality
XV,"Pregnancy, childbirth and the puerperium",O60-O75,Complications of labour and delivery,O61,Failed induction of labour
XV,"Pregnancy, childbirth and the puerperium",O60-O75,Complications of labour and delivery,O68,Labour and delivery complicated by fetal stress [distress]
XV,"Pregnancy, childbirth and the puerperium",O60-O75,Complications of labour and delivery,O72,Postpartum haemorrhage
XV,"Pregnancy, childbirth and the puerperium",O60-O75,Complications of labour and delivery,O75,"Other complications of labour and delivery, not elsewhere classified"
XV,"Pregnancy, childbirth and the puerperium",O20-O29,Other maternal disorders predominantly related to pregnancy,,
XV,"Pregnancy, childbirth and the puerperium",O20-O29,Other maternal disorders predominantly related to pregnancy,O28,Abnormal findings on antenatal screening of mother
XV,"Pregnancy, childbirth and the puerperium",O20-O29,Other maternal disorders predominantly related to pregnancy,O26,Maternal care for other conditions predominantly related to pregnancy
XV,"Pregnancy, childbirth and the puerperium",O20-O29,Other maternal disorders predominantly related to pregnancy,O22,Venous complications and haemorrhoids in pregnancy
XV,"Pregnancy, childbirth and the puerperium",O20-O29,Other maternal disorders predominantly related to pregnancy,O23,Infections of genitourinary tract in pregnancy
XV,"Pregnancy, childbirth and the puerperium",O20-O29,Other maternal disorders predominantly related to pregnancy,O24,Diabetes mellitus in pregnancy
XV,"Pregnancy, childbirth and the puerperium",O20-O29,Other maternal disorders predominantly related to pregnancy,O21,Excessive vomiting in pregnancy
XV,"Pregnancy, childbirth and the puerperium",O20-O29,Other maternal disorders predominantly related to pregnancy,O20,Haemorrhage in early pregnancy
XV,"Pregnancy, childbirth and the puerperium",O20-O29,Other maternal disorders predominantly related to pregnancy,O29,Complications of anaesthesia during pregnancy
XV,"Pregnancy, childbirth and the puerperium",O20-O29,Other maternal disorders predominantly related to pregnancy,O25,Malnutrition in pregnancy
XV,"Pregnancy, childbirth and the puerperium",O94-O99,"Other obstetric conditions, not elsewhere classified",,
XV,"Pregnancy, childbirth and the puerperium",O94-O99,"Other obstetric conditions, not elsewhere classified",O98,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
XV,"Pregnancy, childbirth and the puerperium",O94-O99,"Other obstetric conditions, not elsewhere classified",O95,Obstetric death of unspecified cause
XV,"Pregnancy, childbirth and the puerperium",O94-O99,"Other obstetric conditions, not elsewhere classified",O94,"Sequelae of complication of pregnancy, childbirth and the puerperium"
XV,"Pregnancy, childbirth and the puerperium",O94-O99,"Other obstetric conditions, not elsewhere classified",O96,Death from any obstetric cause occurring more than 42 days but less than one year after delivery
XV,"Pregnancy, childbirth and the puerperium",O94-O99,"Other obstetric conditions, not elsewhere classified",O97,Death from sequelae of obstetric causes
XV,"Pregnancy, childbirth and the puerperium",O94-O99,"Other obstetric conditions, not elsewhere classified",O99,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
XV,"Pregnancy, childbirth and the puerperium",O80-O84,Delivery,,
XV,"Pregnancy, childbirth and the puerperium",O80-O84,Delivery,O80,Single spontaneous delivery
XV,"Pregnancy, childbirth and the puerperium",O80-O84,Delivery,O81,Single delivery by forceps and vacuum extractor
XV,"Pregnancy, childbirth and the puerperium",O80-O84,Delivery,O82,Single delivery by caesarean section
XV,"Pregnancy, childbirth and the puerperium",O80-O84,Delivery,O83,Other assisted single delivery
XV,"Pregnancy, childbirth and the puerperium",O80-O84,Delivery,O84,Multiple delivery
XV,"Pregnancy, childbirth and the puerperium",O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,,
