provider_id,provider_name,provider_street_address,provider_city,provider_state,provider_zipcode,hospital_referral_region_description,total_discharges,average_covered_charges,average_total_payments,average_medicare_payments,icd_category
450270.0,LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,WHITNEY,TX,76692.0,TX - Waco,12.0,2516.25,4253.083333,3773.416667,D22
450270.0,LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,WHITNEY,TX,76692.0,TX - Waco,12.0,2903.25,2838.0,2260.0,G81
450270.0,LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,WHITNEY,TX,76692.0,TX - Waco,22.0,2987.681818,4831.272727,4098.909091,T79
370178.0,MEMORIAL HOSPITAL OF STILWELL,1401 WEST LOCUST,STILWELL,OK,74960.0,OK - Tulsa,19.0,3440.263158,4058.105263,3273.473684,B95
370178.0,MEMORIAL HOSPITAL OF STILWELL,1401 WEST LOCUST,STILWELL,OK,74960.0,OK - Tulsa,13.0,3718.461538,5402.384615,4783.615385,D29
450270.0,LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,WHITNEY,TX,76692.0,TX - Waco,14.0,3968.428571,3790.857143,3298.857143,D18
370178.0,MEMORIAL HOSPITAL OF STILWELL,1401 WEST LOCUST,STILWELL,OK,74960.0,OK - Tulsa,34.0,4162.029412,4737.529412,4024.941176,D28
450270.0,LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,WHITNEY,TX,76692.0,TX - Waco,12.0,4304.166667,4141.25,3468.916667,P12
450270.0,LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,WHITNEY,TX,76692.0,TX - Waco,19.0,4346.368421,4254.157895,3589.947368,D29
370178.0,MEMORIAL HOSPITAL OF STILWELL,1401 WEST LOCUST,STILWELL,OK,74960.0,OK - Tulsa,54.0,4528.388889,3868.444444,3308.277778,D86
450270.0,LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,WHITNEY,TX,76692.0,TX - Waco,17.0,4648.529412,4111.882353,3434.705882,D31
370178.0,MEMORIAL HOSPITAL OF STILWELL,1401 WEST LOCUST,STILWELL,OK,74960.0,OK - Tulsa,17.0,4723.823529,5138.058824,4527.470588,D31
450270.0,LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,WHITNEY,TX,76692.0,TX - Waco,27.0,4725.037037,5637.111111,4826.296296,R82
450270.0,LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,WHITNEY,TX,76692.0,TX - Waco,16.0,4732.0625,5040.625,4393.375,I01
100277.0,DOUGLAS GARDENS HOSPITAL,5200 NE 2ND AVE,MIAMI,FL,33137.0,FL - Miami,29.0,4798.655172,4397.448276,3644.206897,D31
390122.0,TITUSVILLE HOSPITAL,406 WEST OAK STREET,TITUSVILLE,PA,16354.0,PA - Erie,14.0,4864.785714,7716.0,7139.714286,I01
370178.0,MEMORIAL HOSPITAL OF STILWELL,1401 WEST LOCUST,STILWELL,OK,74960.0,OK - Tulsa,30.0,4926.4,4663.4,3653.4,I02
370178.0,MEMORIAL HOSPITAL OF STILWELL,1401 WEST LOCUST,STILWELL,OK,74960.0,OK - Tulsa,32.0,4934.34375,4797.0625,3805.40625,D18
370178.0,MEMORIAL HOSPITAL OF STILWELL,1401 WEST LOCUST,STILWELL,OK,74960.0,OK - Tulsa,35.0,4983.571429,5402.628571,4745.485714,D22
390122.0,TITUSVILLE HOSPITAL,406 WEST OAK STREET,TITUSVILLE,PA,16354.0,PA - Erie,17.0,5062.058824,8998.764706,8116.176471,R82
370178.0,MEMORIAL HOSPITAL OF STILWELL,1401 WEST LOCUST,STILWELL,OK,74960.0,OK - Tulsa,70.0,5280.171429,6288.057143,5571.4,I01
370178.0,MEMORIAL HOSPITAL OF STILWELL,1401 WEST LOCUST,STILWELL,OK,74960.0,OK - Tulsa,18.0,5298.222222,4967.666667,4069.888889,R77
330080.0,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451.0,NY - Bronx,66.0,5468.712121,8002.19697,7056.727273,G81
